Rank,Title,Weekend Gross,Gross to Date,Theaters,Per Theater,Change,Weeks
1,Scary Movie,"$54,336,626","$54,336,626"
2,Masters of the Universe,"$29,439,929","$29,439,929"
3,Backrooms,"$26,256,335","$135,371,260"
4,Obsession,"$25,389,465","$151,921,395"
5,The Amazing Digital Circus: The Last Act,"$12,392,184","$20,272,968"
6,Star Wars: The Mandalorian and Grogu,"$9,962,673","$155,785,022"
7,Michael,"$7,635,782","$354,217,206"
8,The Breadwinner,"$3,417,272","$13,855,329"
9,Pressure,"$3,097,200","$11,249,740"
10,The Devil Wears Prada 2,"$2,784,403","$214,955,337"
11,The Sheep Detectives,"$2,279,363","$59,457,418"
12,Power Ballad,"$1,288,472","$1,514,598"
13,Tuner,"$652,934","$3,116,982"
14,Passenger,"$633,536","$17,434,232"
15,The Super Mario Galaxy Movie,"$602,695","$428,530,625"
16,I Love Boosters,"$497,302","$8,652,430"
17,Mortal Kombat II,"$485,058","$79,113,721"
18,Project Hail Mary,"$424,141","$343,344,019"
19,Trainspotting30th Anniversary,"$286,762","$286,762"
20,Carolina Caroline,"$110,110","$110,110"
21,Hokum,"$59,412","$16,956,360"
22,Is God Is,"$24,079","$4,925,683"
23,"Steal This Story, Please!","$20,322","$610,472"
24,Silent Friend,"$12,896","$340,034"
25,Time and Water,"$10,868","$20,511"
26,Blue Heron,"$9,292","$564,604"
27,Jinsei,"$8,274","$8,274"
28,The Currents,"$8,196","$22,867"
29,Underland,"$7,256","$7,256"
30,Everyone Is Lying to You for Money,"$6,451","$128,514"
31,No Picnic2026 4K Re-release,"$4,240","$95,696"
32,Deep Water,"$3,997","$4,332,430"
33,Chum,"$3,130","$3,130"
34,Renoir,"$2,563","$25,052"
35,Amrum,"$2,404","$69,748"
36,The Last One for the Road,"$2,196","$43,269"
37,Mr. Nobody Against Putin,"$2,143","$268,264"
38,The Blue Trail,"$1,707","$51,765"
39,The Python Hunt,"$1,354","$57,099"
40,Hundreds of Beavers,"$1,245","$909,593"
41,By Design,"$1,084","$44,307"
42,A Great Awakening,$942,"$8,137,293"
43,Conversation Piece2025 Re-release,$857,"$22,678"
44,Two Pianos,$836,"$42,097"
45,Queen Kelly,$714,"$48,077"
46,Killer of Sheep2025 Re-release,$429,"$107,299"
47,Omaha,$412,"$99,573"
48,Erupcja,$310,"$231,824"
49,Granite Rapids Moon,$292,"$41,918"
50,Magic Hour,$188,"$23,116"
51,The Seduction of Mimi,$183,"$25,400"
